iter	Passed	Remaining
0	193	193697
1	195	97307
2	196	65202
3	197	49118
4	198	39518
5	199	33068
6	200	28460
7	201	25003
8	202	22313
9	203	20166
10	204	18415
11	205	16951
12	207	15721
13	208	14663
14	209	13760
15	210	12952
16	212	12264
17	213	11639
18	214	11070
19	215	10560
20	216	10101
21	217	9686
22	219	9304
23	220	8951
24	221	8628
25	222	8331
26	223	8055
27	224	7796
28	225	7559
29	227	7344
30	228	7141
31	229	6947
32	230	6763
33	232	6593
34	233	6427
35	234	6269
36	235	6119
37	236	5981
38	237	5850
39	238	5726
40	239	5604
41	241	5498
42	242	5388
43	243	5283
44	244	5180
45	245	5083
46	246	4990
47	247	4906
48	248	4821
49	249	4741
50	250	4662
51	251	4584
52	252	4511
53	253	4441
54	254	4377
55	256	4315
56	257	4255
57	258	4197
58	259	4138
59	260	4081
60	261	4025
61	262	3972
62	263	3923
63	264	3873
64	266	3827
65	267	3781
66	268	3740
67	269	3694
68	270	3650
69	271	3607
70	272	3566
71	273	3525
72	274	3485
73	275	3446
74	276	3408
75	277	3372
76	278	3336
77	279	3300
78	280	3265
79	280	3231
80	281	3198
81	283	3169
82	284	3141
83	285	3111
84	285	3078
85	286	3048
86	287	3016
87	288	2988
88	289	2963
89	290	2937
90	291	2912
91	292	2886
92	293	2861
93	294	2837
94	295	2812
95	296	2789
96	297	2770
97	299	2754
98	300	2738
99	301	2717
100	303	2697
101	303	2675
102	304	2654
103	305	2633
104	306	2613
105	307	2595
106	308	2575
107	309	2556
108	310	2537
109	311	2518
110	313	2510
111	316	2507
112	317	2491
113	320	2493
114	321	2475
115	322	2458
116	323	2443
117	325	2430
118	338	2506
119	340	2493
120	341	2478
121	342	2462
122	344	2453
123	346	2449
124	348	2440
125	349	2425
126	350	2411
127	351	2394
128	352	2382
129	353	2368
130	354	2353
131	355	2339
132	356	2325
133	358	2315
134	361	2318
135	363	2310
136	364	2297
137	365	2283
138	366	2271
139	367	2258
140	368	2246
141	369	2233
142	370	2221
143	373	2219
144	375	2213
145	376	2203
146	377	2191
147	379	2182
148	380	2171
149	381	2159
150	382	2148
151	382	2136
152	383	2125
153	384	2113
154	387	2111
155	390	2114
156	392	2105
157	393	2095
158	394	2085
159	395	2075
160	396	2068
161	398	2059
162	399	2049
163	401	2047
164	405	2050
165	406	2041
166	407	2032
167	408	2023
168	409	2014
169	410	2006
170	411	1997
171	413	1988
172	414	1979
173	417	1980
174	419	1977
175	421	1973
176	422	1966
177	424	1961
178	426	1956
179	427	1948
180	429	1944
181	434	1954
182	436	1948
183	438	1944
184	440	1941
185	442	1935
186	446	1940
187	448	1936
188	450	1931
189	451	1924
190	453	1918
191	454	1913
192	456	1908
193	458	1903
194	460	1902
195	463	1899
196	464	1893
197	466	1887
198	467	1881
199	468	1874
200	470	1868
201	471	1861
202	472	1855
203	475	1855
204	477	1851
205	479	1849
206	481	1845
207	483	1842
208	485	1837
209	487	1832
210	488	1825
211	491	1825
212	492	1819
213	493	1812
214	495	1807
215	496	1801
216	497	1796
217	499	1790
218	500	1784
219	502	1780
220	503	1773
221	505	1770
222	506	1764
223	507	1758
224	509	1753
225	510	1748
226	511	1742
227	513	1737
228	514	1732
229	515	1727
230	517	1721
231	518	1716
232	519	1711
233	521	1705
234	522	1699
235	523	1695
236	525	1690
237	526	1686
238	527	1680
239	529	1675
240	530	1669
241	531	1664
242	532	1658
243	533	1654
244	535	1649
245	536	1645
246	537	1639
247	539	1634
248	540	1629
249	541	1624
250	542	1619
251	543	1614
252	545	1609
253	546	1604
254	547	1599
255	548	1595
256	550	1590
257	551	1586
258	553	1582
259	554	1578
260	555	1573
261	556	1568
262	557	1563
263	559	1558
264	560	1554
265	561	1550
266	563	1546
267	564	1542
268	565	1538
269	567	1533
270	568	1529
271	570	1525
272	571	1521
273	572	1516
274	573	1512
275	575	1508
276	576	1503
277	577	1500
278	578	1496
279	580	1492
280	581	1488
281	583	1484
282	584	1480
283	585	1476
284	587	1472
285	588	1469
286	590	1465
287	591	1461
288	592	1458
289	593	1453
290	595	1450
291	596	1446
292	597	1442
293	599	1438
294	600	1434
295	601	1430
296	602	1426
297	604	1423
298	605	1419
299	606	1415
300	608	1412
301	609	1408
302	610	1405
303	612	1401
304	613	1397
305	615	1395
306	616	1391
307	617	1387
308	618	1383
309	619	1379
310	620	1375
311	621	1371
312	622	1367
313	623	1362
314	625	1359
315	626	1357
316	629	1356
317	632	1355
318	633	1352
319	635	1350
320	637	1348
321	638	1345
322	640	1342
323	641	1338
324	643	1335
325	645	1334
326	649	1335
327	651	1333
328	654	1334
329	656	1332
330	658	1330
331	660	1329
332	662	1326
333	664	1324
334	666	1323
335	669	1322
336	672	1322
337	674	1320
338	676	1318
339	678	1316
340	681	1316
341	683	1314
342	685	1312
343	686	1308
344	687	1305
345	688	1301
346	690	1298
347	691	1295
348	692	1292
349	694	1289
350	695	1285
351	696	1282
352	697	1278
353	698	1275
354	700	1272
355	701	1269
356	702	1266
357	704	1262
358	705	1259
359	706	1256
360	708	1253
361	709	1250
362	710	1247
363	711	1243
364	713	1240
365	714	1238
366	716	1235
367	718	1233
368	720	1232
369	722	1229
370	723	1226
371	724	1223
372	726	1220
373	727	1217
374	728	1214
375	730	1212
376	731	1209
377	733	1206
378	734	1203
379	736	1201
380	737	1198
381	738	1195
382	739	1191
383	741	1189
384	742	1185
385	743	1183
386	746	1182
387	748	1180
388	750	1178
389	752	1177
390	754	1175
391	756	1172
392	757	1170
393	761	1171
394	763	1169
395	764	1166
396	767	1165
397	770	1165
398	772	1164
399	775	1163
400	777	1161
401	778	1158
402	781	1157
403	782	1154
404	784	1151
405	785	1149
406	787	1146
407	788	1143
408	790	1142
409	791	1139
410	793	1137
411	795	1135
412	796	1132
413	798	1129
414	799	1127
415	801	1124
416	802	1122
417	804	1119
418	806	1118
419	809	1118
420	811	1116
421	813	1114
422	814	1111
423	815	1108
424	817	1105
425	819	1104
426	821	1102
427	826	1104
428	828	1102
429	830	1100
430	832	1098
431	833	1095
432	835	1094
433	837	1091
434	839	1090
435	841	1088
436	843	1086
437	845	1084
438	846	1082
439	848	1079
440	849	1077
441	851	1074
442	852	1072
443	854	1070
444	856	1068
445	858	1066
446	862	1066
447	864	1064
448	865	1062
449	866	1059
450	868	1056
451	871	1057
452	873	1054
453	874	1051
454	875	1049
455	877	1046
456	878	1044
457	880	1042
458	881	1039
459	883	1036
460	884	1034
461	885	1031
462	886	1028
463	888	1025
464	889	1023
465	890	1020
466	892	1018
467	893	1015
468	894	1013
469	896	1010
470	897	1007
471	899	1005
472	900	1003
473	901	1000
474	903	998
475	904	995
476	905	992
477	906	990
478	908	987
479	909	985
480	911	983
481	912	980
482	913	977
483	914	975
484	916	972
485	917	970
486	918	967
487	919	964
488	920	962
489	922	960
490	923	957
491	925	955
492	926	952
493	927	950
494	928	947
495	930	945
496	931	942
497	933	940
498	934	938
499	936	936
500	937	933
501	938	931
502	939	928
503	940	925
504	942	923
505	943	921
506	945	919
507	946	916
508	947	914
509	949	912
510	950	909
511	951	907
512	953	905
513	954	902
514	956	900
515	957	898
516	958	895
517	960	893
518	961	891
519	962	888
520	964	886
521	965	884
522	966	881
523	967	879
524	969	876
525	970	874
526	971	872
527	973	869
528	974	867
529	975	865
530	976	862
531	977	860
532	979	858
533	981	856
534	982	853
535	983	851
536	985	849
537	986	846
538	987	844
539	988	842
540	990	840
541	991	837
542	992	835
543	994	833
544	995	830
545	996	828
546	998	827
547	1000	824
548	1001	822
549	1002	820
550	1004	818
551	1006	817
552	1008	814
553	1009	812
554	1010	810
555	1011	808
556	1013	806
557	1014	803
558	1016	802
559	1018	799
560	1019	797
561	1021	795
562	1022	793
563	1023	791
564	1025	789
565	1026	786
566	1027	784
567	1029	782
568	1031	780
569	1032	778
570	1034	777
571	1035	774
572	1036	772
573	1038	770
574	1039	768
575	1040	766
576	1041	763
577	1044	762
578	1045	760
579	1047	758
580	1048	755
581	1049	753
582	1050	751
583	1052	749
584	1053	747
585	1054	745
586	1056	743
587	1057	741
588	1059	739
589	1061	737
590	1062	735
591	1063	733
592	1065	730
593	1066	728
594	1067	726
595	1069	724
596	1070	722
597	1071	720
598	1072	718
599	1074	716
600	1075	714
601	1077	712
602	1079	710
603	1080	708
604	1082	706
605	1083	704
606	1084	702
607	1086	700
608	1088	698
609	1089	696
610	1091	694
611	1092	692
612	1094	691
613	1096	689
614	1097	687
615	1098	685
616	1100	683
617	1102	681
618	1104	679
619	1106	677
620	1107	675
621	1108	673
622	1110	671
623	1111	670
624	1113	667
625	1114	666
626	1116	663
627	1117	661
628	1119	660
629	1120	658
630	1122	656
631	1124	654
632	1125	652
633	1127	650
634	1128	648
635	1130	646
636	1131	645
637	1133	643
638	1135	641
639	1136	639
640	1138	637
641	1140	635
642	1142	634
643	1143	632
644	1144	630
645	1146	628
646	1147	626
647	1149	624
648	1151	622
649	1152	620
650	1153	618
651	1155	616
652	1156	614
653	1157	612
654	1159	610
655	1160	608
656	1162	606
657	1163	604
658	1164	602
659	1165	600
660	1166	598
661	1168	596
662	1169	594
663	1170	592
664	1171	590
665	1173	588
666	1174	586
667	1175	584
668	1177	582
669	1178	580
670	1179	578
671	1180	576
672	1182	574
673	1183	572
674	1184	570
675	1186	568
676	1187	566
677	1189	564
678	1190	562
679	1192	561
680	1193	559
681	1194	557
682	1196	555
683	1197	553
684	1199	551
685	1200	549
686	1201	547
687	1202	545
688	1204	543
689	1205	541
690	1207	539
691	1208	537
692	1209	535
693	1211	533
694	1212	532
695	1213	530
696	1214	528
697	1216	526
698	1217	524
699	1218	522
700	1219	520
701	1221	518
702	1222	516
703	1223	514
704	1225	512
705	1225	510
706	1227	508
707	1228	506
708	1229	504
709	1231	502
710	1232	500
711	1233	499
712	1234	497
713	1236	495
714	1237	493
715	1238	491
716	1240	489
717	1241	487
718	1242	485
719	1243	483
720	1244	481
721	1246	479
722	1247	477
723	1248	476
724	1250	474
725	1252	472
726	1253	470
727	1254	468
728	1256	466
729	1257	465
730	1258	463
731	1259	461
732	1261	459
733	1262	457
734	1264	455
735	1265	454
736	1267	452
737	1269	450
738	1270	448
739	1272	446
740	1273	445
741	1274	443
742	1275	441
743	1277	439
744	1278	437
745	1279	435
746	1280	433
747	1282	431
748	1283	430
749	1284	428
750	1285	426
751	1287	424
752	1288	422
753	1289	420
754	1290	418
755	1291	416
756	1293	415
757	1294	413
758	1295	411
759	1297	409
760	1298	407
761	1299	405
762	1301	404
763	1302	402
764	1303	400
765	1304	398
766	1305	396
767	1307	394
768	1308	393
769	1309	391
770	1311	389
771	1313	387
772	1314	386
773	1316	384
774	1317	382
775	1319	380
776	1320	378
777	1321	377
778	1322	375
779	1324	373
780	1325	371
781	1326	369
782	1327	367
783	1328	366
784	1330	364
785	1331	362
786	1333	360
787	1334	358
788	1335	357
789	1336	355
790	1338	353
791	1339	351
792	1340	350
793	1342	348
794	1344	346
795	1345	344
796	1347	343
797	1348	341
798	1349	339
799	1350	337
800	1351	335
801	1352	333
802	1354	332
803	1355	330
804	1356	328
805	1357	326
806	1359	325
807	1360	323
808	1361	321
809	1363	319
810	1364	318
811	1366	316
812	1367	314
813	1368	312
814	1369	310
815	1370	309
816	1372	307
817	1373	305
818	1374	303
819	1375	302
820	1376	300
821	1378	298
822	1379	296
823	1380	294
824	1382	293
825	1383	291
826	1384	289
827	1385	287
828	1387	286
829	1389	284
830	1390	282
831	1391	281
832	1393	279
833	1394	277
834	1395	275
835	1397	274
836	1398	272
837	1400	270
838	1401	268
839	1402	267
840	1404	265
841	1405	263
842	1406	261
843	1407	260
844	1412	259
845	1413	257
846	1414	255
847	1416	253
848	1418	252
849	1420	250
850	1421	248
851	1422	247
852	1423	245
853	1425	243
854	1426	241
855	1427	240
856	1428	238
857	1430	236
858	1431	234
859	1433	233
860	1434	231
861	1435	229
862	1437	228
863	1438	226
864	1439	224
865	1440	222
866	1442	221
867	1443	219
868	1445	217
869	1447	216
